name,datetime,conditions,description,icon
IN,2020/11/1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/3,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/4,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/6,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/7,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
IN,2020/11/9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/10,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
IN,2020/11/11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
IN,2020/11/12,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
IN,2020/11/14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
IN,2020/11/15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
IN,2020/11/16,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/20,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
IN,2020/11/21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
IN,2020/11/22,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
IN,2020/11/23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
IN,2020/11/25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
IN,2020/11/26,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
IN,2020/11/27,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/11/28,Clear,Clear conditions throughout the day.,clear-day
IN,2020/11/29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/11/30,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
IN,2020/12/1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/2,Clear,Clear conditions throughout the day.,clear-day
IN,2020/12/3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/6,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/12/7,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/12/8,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/12/9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/10,Clear,Partly cloudy throughout the day.,clear-day
IN,2020/12/11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
IN,2020/12/12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
IN,2020/12/13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
IN,2020/12/14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/15,Partially cloudy,Partly cloudy throughout the day.,snow
IN,2020/12/16,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow
IN,2020/12/17,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/12/18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
IN,2020/12/20,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain
IN,2020/12/21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
IN,2020/12/22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
IN,2020/12/23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
IN,2020/12/24,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
IN,2020/12/25,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow
IN,2020/12/26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/27,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
IN,2020/12/28,Overcast,Cloudy skies throughout the day.,cloudy
IN,2020/12/29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
IN,2020/12/30,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
IN,2020/12/31,Partially cloudy,Partly cloudy throughout the day.,snow
SD,2020/1/1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/3,Partially cloudy,Clearing in the afternoon.,wind
SD,2020/1/4,Partially cloudy,Clearing in the afternoon.,snow
SD,2020/1/5,Clear,Clear conditions throughout the day.,snow
SD,2020/1/6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
SD,2020/1/7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/8,Clear,Clear conditions throughout the day.,clear-day
SD,2020/1/9,Partially cloudy,Partly cloudy throughout the day.,snow
SD,2020/1/10,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow
SD,2020/1/11,Partially cloudy,Partly cloudy throughout the day.,snow
SD,2020/1/12,Clear,Clear conditions throughout the day.,clear-day
SD,2020/1/13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
SD,2020/1/14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/16,Clear,Clear conditions throughout the day.,wind
SD,2020/1/17,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow
SD,2020/1/18,Partially cloudy,Partly cloudy throughout the day.,wind
SD,2020/1/19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/20,Clear,Clear conditions throughout the day.,clear-day
SD,2020/1/21,Clear,Clear conditions throughout the day.,clear-day
SD,2020/1/22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/23,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain
SD,2020/1/24,Overcast,Cloudy skies throughout the day.,cloudy
SD,2020/1/25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
SD,2020/1/27,Overcast,Cloudy skies throughout the day.,cloudy
SD,2020/1/28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain
SD,2020/1/29,Overcast,Cloudy skies throughout the day.,cloudy
SD,2020/1/30,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/1/31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
SD,2020/2/1,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/2,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/3,Overcast,Cloudy skies throughout the day.,cloudy
SD,2020/2/4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/5,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/8,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow
SD,2020/2/9,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow
SD,2020/2/10,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
SD,2020/2/11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/12,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow
SD,2020/2/13,Clear,Clear conditions throughout the day.,snow
SD,2020/2/14,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/15,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/16,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
SD,2020/2/20,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/21,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/22,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/23,Clear,Clear conditions throughout the day.,clear-day
SD,2020/2/24,Partially cloudy,Partly cloudy throughout the day.,snow
SD,2020/2/25,Partially cloudy,Partly cloudy throughout the day.,snow
